    97/299     2.01G    0.0461   0.04456   0.01031     0.101       113       640    0.9461    0.7674    0.7987    0.5045    0.0383   0.01713  0.008096
    98/299     2.01G   0.04457   0.04531   0.00943   0.09931       245       640    0.9445    0.7663    0.8119    0.5181    0.0383   0.01681  0.007832
    99/299     2.01G    0.0457   0.05011   0.01037    0.1062        68       640    0.9579    0.7714    0.8131    0.5422   0.03733   0.01738  0.007589
   100/299     2.01G   0.04854   0.04898  0.009783    0.1073       228       640    0.9035    0.7849    0.8092    0.4751   0.03952   0.01804  0.007287
   101/299     2.01G   0.04871   0.05231  0.009282    0.1103       136       640     0.913    0.7791    0.8131    0.5132   0.04019   0.01766  0.007247
   102/299     2.01G   0.04762   0.04496  0.009388     0.102       105       640    0.9186    0.7827    0.8101    0.5532   0.03695   0.01718  0.006996
   103/299     2.01G   0.04768   0.04785  0.009879    0.1054        98       640    0.9435    0.7884    0.8193    0.5552   0.03743   0.01709  0.007071
   104/299     2.01G   0.05189   0.04805  0.009685    0.1096       188       640    0.9391    0.7907    0.8202    0.5318   0.03808    0.0168  0.006687
   105/299     2.01G   0.04585   0.04721   0.00938    0.1024       128       640    0.9359    0.7637    0.8187    0.5483   0.03725   0.01616  0.006222
   106/299     2.01G   0.04392   0.04675  0.009778    0.1005        62       640     0.846    0.8248    0.8166    0.5594    0.0357   0.01664  0.006477
   107/299     2.01G   0.04447   0.04618  0.009132   0.09978       211       640     0.874     0.825    0.8221    0.5583   0.03559   0.01636   0.00619
   108/299     2.01G   0.04587   0.04758  0.008957    0.1024        77       640    0.9259     0.794    0.8195    0.5221   0.03873   0.01699  0.006381
   109/299     2.01G   0.04643   0.04754  0.009489    0.1035       138       640    0.9063    0.7565    0.8065    0.5765   0.03469   0.01654  0.006393
   110/299     2.01G   0.04272   0.04646  0.009568   0.09874       176       640    0.9252    0.7664    0.8088     0.571   0.03532   0.01634  0.006376
   111/299     2.01G    0.0446   0.04395  0.009467   0.09802       113       640    0.9325    0.7753    0.8124    0.5781   0.03541   0.01637  0.006342
   112/299     2.01G   0.04895   0.05018  0.008391    0.1075       210       640    0.8724    0.8066    0.8206    0.5375    0.0385   0.01682  0.006876
   113/299     2.01G   0.04491   0.04618  0.008974    0.1001        96       640    0.9463    0.8078    0.8213    0.5617   0.03568   0.01668  0.006792
   114/299     2.01G   0.04406   0.04788  0.009167    0.1011       139       640    0.9721    0.7845    0.8339    0.5645   0.03605   0.01683  0.006311
   115/299     2.01G   0.04591   0.04853  0.008189    0.1026       205       640    0.9524    0.8033    0.8356    0.5648   0.03682    0.0164  0.005952
   116/299     2.01G   0.04836   0.04648  0.008634    0.1035       190       640    0.9262     0.825    0.8214    0.5666   0.03608   0.01622  0.005978
   117/299     2.01G   0.04506   0.04731  0.009356    0.1017       127       640    0.9407    0.8234    0.8214    0.5451   0.03872   0.01707  0.006106
   118/299     2.01G   0.04382   0.04457   0.00866   0.09706       110       640    0.9321    0.8234    0.8213    0.5745   0.03678   0.01663  0.006469
   119/299     2.01G   0.04801    0.0467   0.00885    0.1036       119       640     0.928    0.8214    0.8213    0.5477   0.03696   0.01648  0.006379
   120/299     2.01G   0.04747   0.04498  0.008854    0.1013       107       640    0.9508    0.8129    0.8214     0.571   0.03673   0.01691  0.006157
   121/299     2.01G   0.04602   0.04472  0.009513    0.1003       179       640    0.9297     0.816    0.8214    0.5977   0.03627   0.01657  0.005958
   122/299     2.01G   0.04478   0.04628  0.008578   0.09964       293       640    0.9517    0.7933    0.8196    0.5843   0.03662   0.01628  0.005921
   123/299     2.01G   0.04516   0.04509  0.008267   0.09852        75       640    0.9512    0.8105    0.8214    0.5905   0.03417   0.01602  0.005779
   124/299     2.01G   0.04728   0.04726  0.008678    0.1032       179       640    0.9599    0.7919    0.8316     0.574   0.03525   0.01646  0.005847
   125/299     2.01G   0.04517   0.04469  0.009044    0.0989       114       640    0.9661    0.7897     0.818    0.5768   0.03517    0.0165  0.005801
   126/299     2.01G   0.04203   0.03928  0.008747   0.09005        47       640    0.9493    0.8011    0.8196     0.579   0.03469   0.01613  0.005715
   127/299     2.01G     0.044   0.04609  0.008643   0.09874       120       640    0.9663     0.787    0.8235    0.5737   0.03636   0.01616  0.005695
